code,name,market,dynamic_anchor_low,dynamic_anchor_high,fair_value_low,fair_value_high,normal_safe_low,normal_safe_high,deep_safe_low,deep_safe_high,initial_status_note
601138,工业富联,A,36.5,47.3,64.6,87.4,33.5,40.9,27.9,33.5,V0=43/V12=76
300308,中际旭创,A,395,512,892,1208,363,442,302,363,V0=465/V12=1050
000938,紫光股份,A,17.8,23.1,30.6,41.4,16.4,19.9,13.7,16.4,V0=21/V12=36
300502,新易盛,A,323,418,663,897,296,361,247,296,V0=380/V12=780
002463,沪电股份,A,62.9,81.4,110,150,57.7,70.3,48.1,57.7,V0=74/V12=130
603019,中科曙光,A,42.5,55.0,69.7,94.3,39.0,47.5,32.5,39.0,V0=50/V12=82
688008,澜起科技,A,110,143,187,253,101,124,84.5,101,V0=130/V12=220
300394,天孚通信,A,144,187,298,402,133,162,110,133,V0=170/V12=350
300476,胜宏科技,A,149,193,306,414,136,166,114,136,V0=175/V12=360
01810,小米集团-W,HK,23.8,30.8,34.0,46.0,21.8,26.6,18.2,21.8,V0=28/V12=40
00700,腾讯控股,HK,442,572,510,690,406,494,338,406,V0=520/V12=600
03690,美团-W,HK,57.8,74.8,80.8,109,53.0,64.6,44.2,53.0,V0=68/V12=95
01548,金斯瑞生物科技,HK,10.2,13.2,14.4,19.5,9.4,11.4,7.8,9.4,V0=12/V12=17
09992,泡泡玛特,HK,128,165,196,264,117,142,97.5,117,V0=150/V12=230
01357,美图公司,HK,4.2,5.5,6.4,8.6,3.9,4.8,3.2,3.9,V0=5.0/V12=7.5
03896,金山云,HK,4.1,5.3,6.4,8.6,3.7,4.6,3.1,3.7,V0=4.8/V12=7.5
688183,生益电子,A,64.6,83.6,106,144,59.3,72.2,49.4,59.3,V0=76/V12=125
002281,光迅科技,A,59.5,77.0,119,161,54.6,66.5,45.5,54.6,V0=70/V12=140
301165,锐捷网络,A,32.3,41.8,55.2,74.8,29.6,36.1,24.7,29.6,V0=38/V12=65
301308,江波龙,A,255,330,476,644,234,285,195,234,V0=300/V12=560
688525,佰维存储,A,162,209,280,379,148,180,124,148,V0=190/V12=330
688498,源杰科技,A,272,352,748,1012,250,304,208,250,V0=320/V12=880
688347,华虹公司,A,38.2,49.5,68.0,92.0,35.1,42.8,29.2,35.1,V0=45/V12=80
603986,兆易创新,A,153,198,306,414,140,171,117,140,V0=180/V12=360
00992,联想集团,HK,14.4,18.7,22.9,31.0,13.3,16.1,11.1,13.3,V0=17/V12=27
002896,中大力德,A,18.7,24.2,46.8,63.2,17.2,20.9,14.3,17.2,V0=22/V12=55
603319,美湖股份,A,9.3,12.1,25.5,34.5,8.6,10.4,7.2,8.6,V0=11/V12=30
002415,海康威视,A,28.9,37.4,35.7,48.3,26.5,32.3,22.1,26.5,V0=34/V12=42
09988,阿里巴巴-W,HK,97.8,127,136,184,89.7,109,74.8,89.7,V0=115/V12=160
09618,京东集团-SW,HK,93.5,121,128,172,85.8,104,71.5,85.8,V0=110/V12=150
01698,腾讯音乐-SW,HK,30.6,39.6,46.8,63.2,28.1,34.2,23.4,28.1,V0=36/V12=55
002920,德赛西威,A,74.8,96.8,115,155,68.6,83.6,57.2,68.6,V0=88/V12=135
002371,北方华创,A,366,473,527,713,335,408,280,335,V0=430/V12=620
02015,理想汽车-W,HK,40.8,52.8,69.7,94.3,37.4,45.6,31.2,37.4,V0=48/V12=82
600183,生益科技,A,57.8,74.8,106,144,53.0,64.6,44.2,53.0,V0=68/V12=125
