code,name,market,active,track_level,base_theme,note
601138,工业富联,A,1,核心跟踪,AI服务器,watchlist
300476,胜宏科技,A,1,重点跟踪,AI PCB,watchlist
300308,中际旭创,A,1,核心跟踪,光模块/CPO,watchlist
603019,中科曙光,A,1,重点跟踪,AI服务器/算力,watchlist
688041,海光信息,A,1,重点跟踪,国产CPU/DCU/AI芯片,watchlist
300502,新易盛,A,1,核心跟踪,光模块/CPO,watchlist
688008,澜起科技A,A,1,核心跟踪,存储/内存接口,watchlist
06809,澜起科技H,HK,1,港股观察,存储/内存接口,watchlist
301308,江波龙,A,1,重点跟踪,存储,watchlist
603986,兆易创新,A,1,重点跟踪,存储/MCU,watchlist
002371,北方华创,A,1,重点跟踪,半导体设备,watchlist
688981,中芯国际A,A,1,重点跟踪,晶圆代工,watchlist
00981,中芯国际H,HK,1,港股观察,晶圆代工,watchlist
01347,华虹半导体,HK,1,港股观察,晶圆代工,watchlist
01357,美图公司,HK,1,港股观察,AI应用/影像,watchlist
01810,小米集团-W,HK,1,港股观察,手机/汽车/AIoT,watchlist
09988,阿里巴巴-W,HK,1,港股观察,互联网/云/AI,watchlist
00700,腾讯控股,HK,1,港股观察,互联网/游戏/AI,watchlist
03690,美团-W,HK,1,港股观察,本地生活,watchlist
02015,理想汽车-W,HK,1,港股观察,新能源车,watchlist
09992,泡泡玛特,HK,1,港股观察,IP消费,watchlist
06160,百济神州,HK,1,港股观察,创新药,watchlist
01548,金斯瑞生物科技,HK,1,核心低吸,生物科技/CAR-T,watchlist
688256,寒武纪,A,1,重点跟踪,AI芯片,watchlist
002236,大华股份,A,1,核心观察,安防/机器视觉/AIoT,新增核心观察
09618,京东集团-SW,HK,1,核心观察,港股互联网/零售/物流/AI,新增核心观察
01698,腾讯音乐-SW,HK,1,核心观察,在线音乐/内容消费/港股互联网,新增核心观察
09626,哔哩哔哩-W,HK,1,核心观察,内容平台/游戏/港股互联网,新增核心观察
002920,德赛西威,A,1,核心观察,智能汽车/座舱/智驾,新增核心观察
02382,舜宇光学科技,HK,1,核心观察,光学/手机链/车载镜头,新增核心观察
002896,中大力德,A,1,核心观察,机器人/减速器/宇树映射,新增机器人观察
03896,金山云,HK,1,港股观察,云计算/AI算力/港股科技,新增港股AI算力观察
688017,绿的谐波,A,1,重点跟踪,机器人/谐波减速器/人形机器人,新增机器人核心链
603728,鸣志电器,A,1,重点跟踪,机器人/空心杯电机/控制电机,新增机器人核心链
002463,沪电股份,A,1,核心跟踪,AI PCB/服务器PCB/算力硬件,新增AI硬件核心
002415,海康威视,A,1,核心观察,安防/机器视觉/AIoT,新增核心观察
600183,生益科技,A,1,重点跟踪,AI高速覆铜板/CCL/粘结片/生益电子权益,新增AI PCB材料核心
000977,浪潮信息,A,1,重点跟踪,AI服务器/国产算力服务器,新增AI服务器二线修复
09868,小鹏集团-W,HK,1,港股观察,新能源车/智能驾驶/物理AI/新车型周期,新增智能汽车观察
000938,紫光股份,A,1,重点跟踪,AI服务器/网络设备/ICT设备,补齐独立估值35只
300394,天孚通信,A,1,核心跟踪,光模块/CPO器件,补齐独立估值35只
688183,生益电子,A,1,重点跟踪,AI PCB/服务器PCB,补齐独立估值35只
002281,光迅科技,A,1,重点跟踪,光模块/光通信/国产光芯片,补齐独立估值35只
301165,锐捷网络,A,1,核心观察,网络设备/AI网络/交换机,补齐独立估值35只
688525,佰维存储,A,1,重点跟踪,存储/模组/AI存储,补齐独立估值35只
688498,源杰科技,A,1,风险观察,光芯片/激光器/CPO上游,补齐独立估值35只
688347,华虹公司,A,1,风险观察,晶圆代工/国产半导体,补齐独立估值35只
00992,联想集团,HK,1,核心观察,AI服务器/PC/企业基础设施,补齐独立估值35只
603319,美湖股份,A,1,风险观察,机器人/液冷概念,补齐独立估值35只
